difficulty,importance,scheduled_duration,category,location,fixed_time,time_difference,real_duration
0.701,0.864,105,work,cafe,17:15,8.25,157.2
0.494,0.521,85,study,office,20:30,5.5,103.4
0.947,0.829,67,work,home,20:18,8.3,106.0
0.287,0.626,24,errand,outdoor,13:45,7.75,45.0
0.411,0.602,105,work,home,16:15,10.25,108.5
0.114,0.194,50,personal,store,15:18,7.3,52.5
0.306,0.691,44,errand,home,,-1,33.9
0.721,0.927,45,work,cafe,,-1,71.8
0.409,0.436,61,personal,home,22:00,3.0,52.6
0.614,0.558,54,study,cafe,,-1,72.1
0.331,0.542,65,personal,cafe,23:18,1.3,68.8
0.309,0.475,111,work,cafe,22:00,2.0,121.8
0.43,0.825,52,work,office,,-1,75.0
0.199,0.436,53,health,gym,22:18,1.3,76.4
0.0,0.177,28,errand,home,,-1,22.9
0.518,0.719,117,work,office,,-1,148.7
0.392,0.352,72,personal,store,,-1,73.2
0.504,0.43,47,work,home,23:00,4.0,57.2
0.367,0.712,34,study,cafe,21:45,2.75,44.4
0.226,0.458,126,social,home,12:18,0.3,0.0
0.556,0.337,84,work,office,,-1,108.3
0.287,0.621,27,errand,store,,-1,35.0
0.312,0.693,111,work,office,22:15,0.25,0.0
0.79,0.46,115,work,office,21:45,0.75,0.0
0.599,0.93,37,health,gym,,-1,67.3
0.442,0.291,98,social,outdoor,15:15,9.25,122.3
0.496,0.135,70,social,cafe,21:30,13.5,73.4
0.401,0.332,65,personal,store,,-1,63.1
0.522,0.493,72,personal,cafe,18:15,1.25,76.3
0.589,0.357,47,study,office,,-1,62.1
0.486,0.0,59,work,office,14:15,2.25,64.0
0.84,0.47,119,work,cafe,10:00,4.0,159.2
0.247,0.179,163,social,outdoor,,-1,172.6
0.222,0.482,73,personal,cafe,,-1,69.4
0.379,0.609,44,study,office,,-1,65.7
0.395,0.135,60,study,cafe,,-1,68.2
0.577,0.2,119,work,cafe,,-1,134.2
0.162,0.526,57,personal,cafe,,-1,52.6
0.399,0.455,36,errand,store,22:15,6.25,40.6
0.525,0.346,22,personal,store,,-1,26.9
0.819,0.863,94,work,cafe,22:15,3.25,155.4
0.686,0.635,108,study,cafe,18:00,7.0,142.9
0.19,0.43,18,errand,outdoor,18:15,10.25,42.4
0.418,0.462,74,work,cafe,17:18,1.3,87.0
0.429,0.297,40,errand,home,,-1,38.2
0.813,0.905,91,work,home,21:30,1.5,114.1
0.798,0.473,97,study,office,,-1,133.1
0.434,0.466,87,personal,home,,-1,76.2
0.904,0.539,105,work,cafe,22:18,7.3,158.0
0.361,0.464,62,personal,cafe,09:45,3.75,68.3
0.522,0.254,175,social,home,,-1,169.7
0.677,0.697,36,health,gym,,-1,67.5
0.345,0.475,73,personal,cafe,,-1,75.4
0.353,1.0,20,health,home,20:18,2.3,26.3
0.514,0.392,98,social,home,,-1,89.4
0.126,0.553,67,work,office,18:30,2.5,77.2
0.746,0.534,80,study,cafe,,-1,108.6
0.598,0.824,62,work,office,22:30,13.5,89.1
0.621,0.431,29,errand,store,22:15,2.25,35.8
0.255,0.632,92,study,home,,-1,99.8
0.069,0.371,79,personal,cafe,19:00,5.0,69.0
0.48,0.618,83,work,home,15:15,2.25,85.1
0.345,0.594,62,personal,home,15:45,3.75,56.2
0.141,0.546,88,personal,cafe,,-1,80.0
0.949,0.496,98,work,home,,-1,153.9
0.0,0.223,47,personal,store,,-1,39.8
0.403,0.149,10,errand,store,20:00,0.0,0.0
0.0,0.369,44,errand,store,16:15,2.25,40.7
0.522,0.405,39,errand,home,,-1,33.3
0.391,0.275,31,personal,home,20:45,4.75,22.2
0.441,0.385,85,work,cafe,21:18,0.3,0.0
0.681,0.404,101,work,home,20:18,0.3,0.0
0.367,0.545,17,personal,store,,-1,27.0
0.465,0.456,63,study,office,22:30,1.5,82.4
0.254,0.141,75,personal,home,,-1,51.5
0.465,0.371,168,social,home,12:18,2.3,157.0
0.239,0.803,25,health,outdoor,23:15,5.25,56.4
0.392,0.553,14,errand,outdoor,,-1,38.3
0.444,0.583,78,study,office,17:45,8.75,97.9
0.458,0.598,134,social,cafe,22:45,4.75,152.2
0.69,0.688,86,study,office,21:18,2.3,115.6
0.322,0.507,46,personal,store,,-1,43.7
0.087,0.192,54,personal,cafe,,-1,50.0
0.362,0.503,21,personal,store,16:18,0.3,25.7
0.787,0.732,45,health,home,20:15,9.25,65.1
0.393,0.349,21,errand,outdoor,,-1,50.0
0.0,0.007,23,personal,home,16:00,5.0,12.8
0.58,0.902,45,health,gym,22:00,3.0,80.6
0.634,0.433,60,study,office,,-1,77.0
0.547,0.844,47,health,home,18:18,8.3,56.7
0.524,0.611,84,work,cafe,,-1,98.8
0.895,0.46,73,work,office,12:15,0.25,0.0
0.14,0.361,34,errand,store,,-1,33.9
0.62,0.502,63,work,home,17:00,2.0,69.6
0.592,0.324,83,personal,store,14:30,7.5,79.6
0.221,0.487,85,social,outdoor,20:00,13.0,104.5
0.431,0.581,31,work,office,21:18,5.3,47.7
0.036,0.582,43,errand,home,16:18,10.3,30.4
0.736,0.182,108,study,home,18:15,9.25,126.1
0.387,0.327,135,social,cafe,23:00,8.0,151.4
0.489,0.237,65,study,office,14:15,5.25,80.3
0.581,0.558,16,personal,store,22:45,10.75,20.0
0.338,0.605,27,personal,cafe,22:18,12.3,26.4
0.071,0.0,88,personal,store,,-1,69.3
0.639,0.297,90,personal,home,,-1,81.9
0.504,0.479,64,work,cafe,,-1,77.4
0.821,0.365,26,health,outdoor,22:00,1.0,58.3
0.342,0.876,39,work,cafe,,-1,56.6
0.093,0.559,24,errand,store,22:18,11.3,33.0
0.901,0.502,60,work,home,18:00,8.0,79.6
0.73,0.616,47,health,gym,23:18,13.3,80.3
0.649,0.338,93,study,office,,-1,124.3
0.495,0.515,75,study,cafe,23:30,2.5,95.0
0.676,0.286,33,personal,home,15:00,3.0,31.8
0.849,0.522,70,work,cafe,14:15,0.25,0.0
0.808,0.43,88,work,office,,-1,131.2
0.324,0.445,102,study,cafe,,-1,121.8
0.865,0.59,50,health,gym,19:00,8.0,96.2
0.808,0.625,84,work,office,,-1,119.5
0.12,0.0,13,errand,outdoor,,-1,37.1
0.389,0.343,34,personal,home,,-1,30.5
0.511,0.485,54,personal,cafe,17:45,10.75,58.4
0.267,0.609,56,work,cafe,20:18,2.3,60.7
0.928,0.292,133,social,cafe,20:45,0.75,0.0
0.192,0.197,12,errand,outdoor,18:45,4.75,34.6
0.577,0.802,79,work,home,17:00,6.0,86.5
0.71,0.713,86,work,home,,-1,104.3
0.635,0.658,30,health,home,,-1,32.6
0.329,0.348,30,personal,home,22:30,5.5,25.5
0.653,0.352,98,study,home,,-1,104.6
0.259,0.681,55,study,office,15:00,7.0,64.6
0.34,0.995,59,health,home,22:15,0.25,0.0
0.046,0.725,45,errand,home,17:18,5.3,32.1
0.391,0.664,116,work,home,,-1,131.6
0.36,0.3,77,personal,home,,-1,63.2
0.536,0.538,60,personal,home,,-1,53.2
0.563,0.739,49,work,cafe,,-1,62.6
0.498,0.626,49,health,home,,-1,50.9
0.314,0.331,89,personal,home,,-1,74.4
0.307,0.421,92,social,home,,-1,90.0
0.31,0.37,15,errand,outdoor,,-1,40.0
0.517,0.685,55,study,office,21:30,5.5,77.1
0.52,0.53,88,study,office,,-1,110.2
0.0,0.077,34,errand,outdoor,,-1,44.8
0.602,0.98,51,health,home,,-1,70.0
0.378,0.606,49,personal,cafe,13:30,1.5,51.8
0.148,0.042,59,personal,cafe,,-1,51.5
0.44,0.581,22,personal,home,,-1,14.9
0.519,0.358,98,work,home,,-1,98.9
0.444,0.302,16,errand,home,17:30,8.5,13.6
0.74,0.641,69,work,home,22:18,0.3,0.0
0.392,0.341,36,personal,cafe,,-1,37.8
0.612,0.89,43,health,outdoor,23:18,2.3,85.2
0.686,0.603,99,study,home,,-1,113.0
0.507,0.923,78,work,cafe,19:30,0.5,0.0
0.324,0.375,40,study,cafe,,-1,46.0
0.289,0.693,86,personal,cafe,23:30,8.5,83.3
0.135,0.513,22,errand,home,,-1,21.7
0.691,0.852,46,work,cafe,19:15,2.25,64.6
0.235,0.627,39,work,office,,-1,46.9
0.132,0.443,32,personal,store,,-1,31.9
0.275,0.97,33,health,outdoor,,-1,66.4
0.289,0.387,34,errand,home,,-1,25.3
0.781,0.776,82,work,office,,-1,125.9
0.543,0.64,47,personal,home,13:30,4.5,39.3
0.551,0.506,34,study,office,,-1,52.9
0.519,0.454,37,errand,outdoor,,-1,60.9
0.471,0.0,68,social,home,,-1,57.1
0.56,0.411,108,study,office,21:30,1.5,109.4
0.158,0.406,33,personal,home,,-1,21.0
0.602,0.178,77,work,home,,-1,79.4
0.203,0.36,144,social,outdoor,22:30,0.5,0.0
0.792,0.579,85,work,cafe,,-1,118.1
0.753,0.567,62,study,cafe,,-1,86.9
0.467,0.447,21,personal,home,21:30,1.5,17.1
0.407,0.512,54,personal,cafe,18:15,1.25,56.1
0.268,0.541,15,errand,store,11:00,0.0,0.0
0.162,0.676,86,personal,cafe,23:00,10.0,68.4
0.43,0.427,18,errand,home,,-1,20.1
0.585,0.638,76,study,office,22:18,13.3,93.5
0.286,0.493,39,work,cafe,,-1,45.7
0.326,0.33,163,social,cafe,,-1,165.6
0.597,0.352,32,study,cafe,13:15,3.25,38.9
0.686,0.428,37,study,home,18:18,7.3,44.0
0.25,0.457,47,study,home,19:45,11.75,42.1
0.049,0.338,62,personal,home,,-1,51.3
0.443,0.26,85,personal,cafe,21:15,1.25,69.0
0.405,0.641,10,errand,home,,-1,4.8
0.579,0.484,94,study,cafe,23:15,16.25,103.7
0.687,0.738,97,study,cafe,,-1,126.6
0.0,0.197,122,social,home,14:30,1.5,77.9
0.409,0.703,74,personal,home,,-1,62.6
0.5,0.215,40,errand,outdoor,21:00,0.0,0.0
0.55,0.83,105,work,office,14:00,3.0,141.2
0.502,0.834,109,work,cafe,,-1,137.8
0.741,0.843,44,health,gym,,-1,88.1
0.391,0.735,13,errand,outdoor,19:30,10.5,38.9
0.214,0.508,35,errand,store,,-1,33.1
0.818,0.612,42,health,gym,,-1,78.6
0.644,0.785,50,study,home,,-1,54.1
0.349,0.695,109,work,home,17:00,10.0,110.4
0.241,0.611,31,errand,outdoor,,-1,50.3
0.406,0.547,46,work,home,23:15,1.25,48.5
0.729,0.809,63,work,cafe,19:18,3.3,90.9
0.649,0.718,32,work,cafe,,-1,48.3
0.461,0.591,20,health,outdoor,16:00,8.0,46.6
0.415,0.609,57,work,home,,-1,59.3
0.584,0.625,88,study,office,,-1,106.7
0.503,0.833,57,study,cafe,,-1,74.0
0.362,0.313,30,personal,cafe,,-1,43.1
0.31,0.563,22,errand,outdoor,16:30,4.5,47.3
0.0,0.037,62,personal,home,,-1,31.5
0.314,0.391,131,social,cafe,,-1,136.3
0.472,0.309,90,personal,store,18:15,2.25,90.9
0.572,0.604,13,errand,home,,-1,14.7
0.308,0.515,64,study,home,,-1,58.6
0.508,0.426,16,errand,home,19:15,8.25,13.3
0.346,0.594,95,social,cafe,22:15,7.25,102.2
0.506,0.689,36,work,office,11:00,3.0,47.1
0.016,0.483,73,personal,store,21:18,0.3,0.0
0.574,0.52,54,work,home,,-1,59.1
0.468,0.323,45,study,cafe,,-1,63.1
0.448,0.215,33,errand,outdoor,16:00,8.0,51.6
0.497,0.658,43,errand,outdoor,20:18,0.3,45.7
0.151,0.328,68,study,office,,-1,81.5
0.614,0.653,71,work,cafe,,-1,84.5
0.243,0.666,71,study,home,23:45,2.75,71.3
0.738,0.462,57,health,gym,,-1,92.5
0.168,0.575,17,errand,outdoor,21:30,4.5,37.3
0.0,0.584,21,errand,home,,-1,10.7
0.66,0.612,33,study,home,,-1,35.1
0.388,0.636,21,errand,home,,-1,15.3
0.874,0.492,70,work,cafe,23:00,15.0,104.3
0.0,0.2,12,errand,outdoor,22:15,3.25,34.5
0.287,0.792,109,work,office,,-1,133.3
0.232,0.718,52,work,office,,-1,69.9
0.371,0.394,84,work,home,,-1,90.0
0.841,0.186,34,errand,home,,-1,39.7
0.564,0.541,52,work,office,,-1,75.4
0.477,0.307,72,personal,cafe,,-1,71.5
0.181,0.486,62,personal,cafe,13:00,0.0,0.0
0.206,0.206,34,errand,outdoor,,-1,52.5
0.484,0.924,44,work,home,,-1,55.5
0.127,0.479,111,social,home,,-1,93.2
0.205,0.587,70,social,home,18:30,5.5,63.4
0.91,0.703,114,work,office,,-1,184.9
0.355,0.447,14,errand,store,,-1,24.8
0.388,0.21,27,errand,store,,-1,37.2
0.331,0.39,46,health,outdoor,19:18,3.3,76.8
0.539,0.634,45,personal,home,21:15,3.25,37.8
0.863,0.718,94,study,office,13:15,3.25,144.2
0.325,0.133,22,errand,outdoor,17:30,8.5,41.6
0.059,0.542,22,errand,outdoor,23:15,8.25,35.5
0.438,0.709,41,health,gym,,-1,67.3
0.088,0.512,141,social,cafe,10:00,3.0,126.0
0.657,0.574,63,study,home,18:45,8.75,67.6
0.323,0.803,20,health,gym,,-1,49.4
0.382,0.016,56,personal,store,19:15,2.25,51.7
0.157,0.335,78,personal,store,14:45,4.75,71.0
0.473,0.325,71,study,home,10:18,2.3,79.9
0.645,0.755,80,work,home,21:45,4.75,96.8
0.363,0.486,30,health,gym,,-1,56.0
0.257,0.822,50,work,office,13:45,5.75,62.0
0.724,0.542,34,work,cafe,,-1,51.1
0.596,0.93,49,work,home,23:18,10.3,54.8
0.535,0.404,65,personal,store,,-1,66.2
0.604,0.767,34,health,gym,18:00,7.0,55.8
0.342,0.673,73,study,home,,-1,74.6
0.181,0.472,55,study,cafe,19:18,0.3,0.0
0.388,0.501,126,social,cafe,22:00,10.0,133.6
0.364,0.476,178,social,outdoor,,-1,193.2
0.566,0.229,77,social,home,,-1,67.8
0.445,0.294,85,personal,home,,-1,68.7
0.166,0.502,39,errand,store,17:30,1.5,37.2
0.359,0.766,84,study,home,23:15,3.25,88.9
0.898,0.358,57,health,gym,,-1,104.1
0.518,0.638,85,social,outdoor,20:15,1.25,99.7
0.291,0.704,10,errand,home,,-1,8.1
0.198,0.354,16,personal,store,12:15,5.25,26.2
0.334,0.138,48,personal,home,,-1,28.7
0.537,0.623,51,study,home,,-1,51.3
0.091,0.169,113,work,office,,-1,113.6
0.01,0.323,152,social,cafe,12:45,5.75,131.1
0.472,0.4,31,errand,outdoor,,-1,48.9
0.692,0.46,80,personal,home,,-1,80.0
0.615,0.648,99,work,office,11:45,4.75,123.9
0.37,0.771,23,personal,store,,-1,33.9
0.553,0.61,52,health,outdoor,,-1,80.7
0.487,0.666,89,study,cafe,,-1,106.1
0.452,0.8,99,study,home,,-1,117.7
0.763,0.675,30,study,cafe,,-1,43.7
0.485,0.443,56,work,office,15:15,9.25,79.1
0.219,0.733,26,errand,store,15:00,7.0,31.5
0.598,0.385,115,study,home,23:45,7.75,121.6
0.393,0.662,100,study,home,14:30,7.5,94.7
0.631,0.653,81,work,cafe,23:45,7.75,97.1
0.613,0.478,99,work,cafe,,-1,117.1
0.68,0.871,94,work,cafe,11:18,1.3,116.8
0.395,0.743,116,work,cafe,19:45,0.75,0.0
0.652,0.51,53,study,home,23:30,8.5,59.1
0.0,0.637,29,personal,home,23:18,3.3,22.5
0.808,0.432,78,study,cafe,21:15,1.25,91.6
0.38,0.076,117,social,outdoor,,-1,128.4
0.22,0.495,45,errand,home,,-1,37.6
0.617,1.0,37,health,outdoor,,-1,74.1
0.597,0.18,76,personal,store,,-1,69.0
0.139,0.436,144,social,cafe,20:30,4.5,134.0
0.839,0.332,60,personal,cafe,21:18,0.3,0.0
0.397,0.745,54,work,office,,-1,79.7
0.483,0.751,98,study,office,21:00,5.0,121.9
0.674,0.522,48,study,cafe,14:18,2.3,64.0
0.778,0.643,18,errand,home,,-1,17.8
0.465,0.581,31,health,outdoor,,-1,64.3
0.456,0.757,32,errand,home,19:18,2.3,31.9
0.468,0.508,47,health,home,,-1,54.3
0.575,0.445,100,study,home,12:15,4.25,108.6
0.525,0.182,86,social,home,,-1,74.9
0.357,0.591,84,work,home,,-1,91.4
0.889,0.754,81,work,office,,-1,133.8
0.751,0.457,111,study,cafe,,-1,138.3
0.301,0.387,83,work,office,17:30,4.5,99.8
0.787,0.92,95,study,cafe,20:45,2.75,143.2
0.757,0.749,29,health,gym,,-1,64.2
0.0,0.814,21,errand,home,22:00,1.0,11.4
0.652,0.189,95,work,cafe,,-1,119.3
0.45,0.306,81,social,outdoor,16:15,5.25,114.0
0.882,0.88,53,health,home,,-1,82.8
0.44,0.374,42,work,cafe,,-1,55.4
0.764,0.437,97,work,office,,-1,129.4
0.665,0.712,51,health,home,09:45,0.75,53.7
0.432,0.39,62,personal,store,,-1,61.0
0.55,0.699,43,health,gym,16:45,2.75,66.5
0.263,0.0,43,personal,cafe,,-1,35.0
0.261,0.629,76,work,office,10:00,1.0,78.8
0.666,0.919,83,work,office,21:00,1.0,110.6
0.159,0.526,47,personal,cafe,16:18,0.3,0.0
0.231,0.369,23,errand,outdoor,16:00,4.0,45.1
0.505,0.777,64,social,cafe,20:30,10.5,80.7
0.547,0.766,112,work,cafe,15:18,6.3,143.4
0.144,0.642,84,personal,cafe,,-1,67.7
0.124,0.704,22,personal,home,10:45,2.75,9.8
0.493,0.474,26,health,home,16:15,0.25,22.1
0.118,0.312,24,errand,home,,-1,20.2
0.461,0.982,53,health,outdoor,12:30,0.5,73.2
0.217,0.362,68,personal,store,,-1,69.6
0.642,0.69,48,health,home,,-1,61.4
0.883,0.649,67,work,office,,-1,109.3
0.338,0.005,26,personal,home,23:00,3.0,17.0
0.425,0.164,38,personal,store,,-1,41.5
0.501,0.959,49,health,home,,-1,68.9
0.429,0.443,79,personal,cafe,,-1,74.3
0.569,0.435,37,work,cafe,,-1,50.6
0.29,0.714,26,personal,home,,-1,19.7
0.175,0.836,116,work,cafe,23:18,5.3,127.1
0.298,0.486,94,social,home,22:15,7.25,78.4
0.186,0.43,109,work,cafe,20:15,1.25,92.9
0.236,0.455,85,work,cafe,,-1,99.3
0.0,0.409,24,errand,store,,-1,23.5
0.543,0.399,27,personal,cafe,18:18,8.3,28.8
0.563,0.29,89,study,office,,-1,100.6
0.164,0.394,35,errand,home,18:45,0.75,29.7
0.424,0.533,44,study,cafe,,-1,58.5
0.072,0.702,23,personal,cafe,,-1,25.8
0.45,0.35,107,work,home,22:15,0.25,0.0
0.303,0.382,16,personal,home,,-1,16.5
0.265,1.0,78,work,cafe,21:00,3.0,99.1
0.0,0.338,68,personal,cafe,22:00,0.0,0.0
0.645,0.609,89,work,office,,-1,118.0
0.561,0.566,94,work,cafe,18:00,4.0,113.7
0.497,0.633,59,health,outdoor,,-1,91.7
0.249,0.354,21,errand,store,,-1,25.3
0.231,0.322,52,personal,cafe,,-1,49.7
0.89,0.567,28,health,gym,18:00,8.0,58.1
0.485,0.429,15,errand,store,,-1,27.4
0.572,0.549,110,work,office,19:30,1.5,121.5
0.072,0.67,20,health,outdoor,,-1,42.1
0.787,0.257,90,work,home,20:00,4.0,112.4
1.0,0.731,33,health,home,23:45,9.75,59.1
0.017,0.686,27,errand,home,22:45,5.75,17.0
0.775,0.329,35,study,cafe,21:18,15.3,54.7
0.759,0.54,118,study,cafe,,-1,157.4
0.351,0.197,22,errand,outdoor,,-1,46.9
0.585,0.825,95,study,home,22:30,0.5,0.0
0.344,0.087,29,errand,store,,-1,35.7
0.932,0.621,57,work,cafe,,-1,91.9
0.0,0.245,137,social,outdoor,22:15,7.25,122.4
0.301,0.412,15,errand,home,,-1,16.6
0.795,0.58,108,work,office,,-1,148.6
0.166,0.275,19,personal,store,,-1,24.5
0.357,0.636,38,work,home,14:30,4.5,42.3
0.278,0.397,104,work,cafe,,-1,113.7
0.656,0.323,32,work,home,,-1,32.2
0.555,0.612,106,work,office,23:15,3.25,135.3
0.0,0.105,44,errand,outdoor,,-1,55.9
0.818,0.643,169,social,cafe,22:15,6.25,213.8
0.331,0.315,42,errand,home,22:45,5.75,39.6
0.0,0.22,42,personal,home,,-1,25.6
0.707,0.647,106,work,office,23:45,10.75,141.6
0.58,0.279,35,errand,outdoor,,-1,55.6
0.608,0.379,60,study,cafe,09:18,1.3,77.9
0.768,0.432,51,study,cafe,22:15,8.25,68.7
0.808,0.636,87,personal,cafe,,-1,95.3
0.186,0.359,31,errand,store,20:30,11.5,34.5
0.414,1.0,50,health,gym,,-1,94.1
0.418,0.618,102,social,home,,-1,101.5
0.427,0.4,76,work,office,,-1,93.4
0.184,0.051,53,personal,store,12:18,0.3,0.0
0.36,0.151,143,social,cafe,22:30,4.5,140.1
0.5,0.311,20,errand,outdoor,21:18,6.3,42.6
0.111,0.714,27,personal,store,17:18,0.3,28.3
0.56,0.584,80,work,home,,-1,85.0
0.361,0.806,47,work,cafe,21:30,8.5,62.3
0.505,0.513,32,errand,store,20:45,14.75,42.9
0.458,0.325,22,personal,home,,-1,19.8
0.759,0.42,101,social,outdoor,16:18,4.3,143.4
0.402,0.457,122,social,cafe,20:30,7.5,135.0
0.546,0.647,54,work,home,22:00,2.0,58.1
0.494,0.792,119,work,cafe,,-1,144.1
0.434,0.023,16,personal,cafe,,-1,22.1
0.554,0.486,26,errand,outdoor,22:18,3.3,47.4
0.219,0.479,24,personal,home,,-1,16.1
0.781,0.602,85,study,home,11:30,3.5,108.3
0.1,0.642,63,personal,cafe,22:18,0.3,0.0
0.366,0.669,20,health,home,19:30,4.5,23.0
0.636,0.638,55,health,outdoor,21:45,4.75,92.4
0.229,0.494,120,study,office,,-1,119.8
0.107,0.236,35,personal,store,,-1,39.3
0.312,0.302,65,work,home,22:18,16.3,61.0
0.262,0.251,136,social,outdoor,21:18,7.3,141.1
0.074,0.666,39,personal,store,13:30,3.5,37.4
0.0,0.427,22,errand,store,20:00,3.0,24.5
0.368,0.679,43,errand,store,,-1,47.3
0.436,0.491,87,work,office,17:18,3.3,111.6
0.069,0.304,59,personal,cafe,21:00,11.0,52.4
0.561,0.352,57,study,office,16:30,6.5,72.9
0.298,0.162,59,study,cafe,08:15,1.25,59.2
0.151,0.086,42,personal,cafe,,-1,36.8
0.331,0.604,74,personal,cafe,,-1,72.7
0.143,0.433,112,social,home,,-1,90.9
0.656,0.669,69,work,home,21:30,1.5,82.8
0.499,0.592,88,study,cafe,,-1,94.3
0.248,0.072,106,social,outdoor,,-1,112.1
0.291,0.908,63,work,home,18:45,4.75,73.0
0.303,0.128,14,errand,store,,-1,19.0
0.186,0.313,19,errand,store,,-1,25.7
0.626,0.398,82,study,office,,-1,96.2
0.57,0.776,64,work,office,19:15,0.25,0.0
0.0,0.125,44,errand,outdoor,,-1,56.6
0.569,0.621,97,work,cafe,22:00,13.0,110.1
0.85,0.663,54,study,cafe,22:15,7.25,82.3
0.448,0.461,44,personal,store,22:30,7.5,53.4
0.564,0.387,61,work,home,20:30,2.5,62.4
0.311,0.512,29,errand,home,20:00,1.0,23.7
0.494,0.761,103,work,home,22:30,1.5,104.3
0.674,0.857,90,work,home,16:45,2.75,109.2
0.294,0.984,67,personal,store,,-1,76.6
0.655,0.505,118,study,home,19:00,4.0,134.1
0.532,0.542,45,work,office,,-1,62.2
0.379,0.184,22,personal,store,16:00,3.0,27.7
0.37,0.228,50,personal,store,20:00,0.0,0.0
0.832,0.46,52,work,home,23:00,17.0,71.7
0.61,0.83,87,work,office,23:30,8.5,114.7
0.293,0.329,44,work,cafe,,-1,53.9
0.486,0.45,172,social,outdoor,20:00,12.0,200.2
0.195,0.849,47,personal,store,20:30,1.5,48.7
0.653,0.392,101,work,home,23:45,13.75,109.4
0.497,0.619,77,personal,home,,-1,64.4
0.817,0.966,44,health,gym,22:18,1.3,93.3
0.316,0.279,40,errand,store,18:00,3.0,39.5
0.554,0.623,45,study,cafe,20:30,6.5,60.9
0.523,0.344,52,study,office,20:18,1.3,66.0
0.314,0.411,34,errand,store,22:15,4.25,36.9
0.695,0.038,116,social,home,23:45,12.75,110.3
0.375,0.685,70,work,cafe,,-1,82.2
0.429,0.354,70,personal,home,,-1,62.5
0.551,0.386,95,study,home,,-1,96.8
0.924,0.85,79,study,home,23:00,7.0,123.7
0.579,0.555,12,errand,home,22:18,1.3,10.4
0.189,0.469,90,personal,cafe,,-1,71.0
0.391,0.197,57,study,cafe,,-1,62.2
0.976,0.764,52,work,home,22:30,1.5,73.6
0.452,0.635,114,study,cafe,12:30,6.5,117.4
0.281,0.303,79,personal,home,,-1,60.7
