text,difficulty,importance
handle shopping moderately important,0.424,0.676
lead networking event hard doesn't matter,0.551,0.154
write documentation complex very important,0.758,0.874
go to call with client important needs focus,0.435,0.722
ship unit testing exhausting low stakes,0.731,0.099
join standup massive effort basically useless,0.716,0.128
prepare for exam prep simple urgent need,0.151,0.935
push performance review hard needs focus,0.669,0.686
take care of cooking hard zero payoff,0.759,0.112
fix performance review decent effort important,0.484,0.704
have team standup fairly important,0.339,0.517
prepare for reading needs attention,0.462,0.671
do stretch quite demanding,0.674,0.498
attend team standup draining but irrelevant,0.797,0.089
debug report thirty seconds can't skip,0.107,0.964
do doctor appointment exhausting low stakes,0.774,0.115
lead interview if time allows,0.328,0.219
attend team standup takes no time top priority,0.054,0.829
go for stretch takes forever but skip it,0.753,0.127
ship unit testing hardest thing ever very important,0.852,0.922
submit expense report simple pointless,0.068,0.086
file timesheet difficult urgent,0.713,0.828
run slides non trivial,0.586,0.326
finish vacuuming difficult pointless,0.708,0.117
study for homework technically hard completely optional,0.772,0.187
ship report complex nobody asked for,0.724,0.1
do medication kinda hard kinda matters,0.472,0.591
get vacuuming draining but irrelevant,0.682,0.119
have meeting hard nobody cares,0.609,0.145
do dusting takes forever but skip it,0.734,0.136
attend slides standard routine,0.429,0.414
go to standup complex very important,0.678,0.916
file expense report hard nobody cares,0.624,0.149
finish cooking quick urgent,0.086,0.919
complete code review complex very important,0.745,0.811
finish homework extremely hard life or death,0.898,0.976
join retrospective brutal intense,0.873,0.859
finish assignment tough urgent must do,0.769,0.859
finish deployment middle of the road,0.563,0.52
go to doctor appointment quick low value,0.111,0.246
join presentation takes no time,0.049,0.057
finish code review quick but matters,0.138,0.525
study for assignment fairly important,0.282,0.678
do dentist moderate effort,0.37,0.458
have dentist hardest thing ever very important,0.874,1.0
get dishes not hard but important,0.234,0.607
ship performance review average task average priority,0.544,0.523
prepare for networking event easy moderate important,0.159,0.515
do dentist moderately important,0.296,0.693
have standup exhausting low stakes,0.654,0.182
do shopping easy low importance,0.088,0.377
review documentation complex nobody asked for,0.737,0.114
do workout background task,0.301,0.242
lead retrospective hard demanding,0.71,0.614
easy study session session,0.138,0.168
finish exam prep takes no time,0.073,0.179
ship performance review extremely complex critical,0.851,0.922
have team standup not hard but important,0.134,0.688
run sprint planning quick can't miss,0.08,0.878
file expense report takes some effort,0.428,0.44
write email complex nobody asked for,0.572,0.098
do medication requires focus,0.446,0.661
take care of cleaning hard doesn't matter,0.583,0.159
attend slides hard doesn't matter,0.679,0.064
lead retrospective next week,0.395,0.241
take care of laundry easy low importance,0.183,0.28
fix performance review tough challenging,0.558,0.564
fix deployment quick can't miss,0.109,0.887
have doctor appointment demanding critical,0.672,0.854
do vacuuming demanding critical,0.62,0.901
go through exam prep hard waste of time,0.603,0.144
file expense report tonight,0.258,0.201
get dentist hard nobody cares,0.681,0.107
lead networking event draining but irrelevant,0.693,0.091
study for homework background task,0.225,0.221
do reading medium priority,0.31,0.551
get laundry barely anything,0.021,0.107
prepare for retrospective easy no big deal,0.132,0.123
attend call with client tough no benefit,0.559,0.069
run team standup tough urgent must do,0.694,0.902
submit timesheet quick urgent,0.132,0.944
finish cooking hard very important,0.603,0.822
do budget moderately important,0.434,0.633
review report tiny task major impact,0.072,0.851
fill out invoice easy very important,0.173,0.91
prepare for reading quite demanding,0.633,0.56
finish assignment quick doesn't matter,0.04,0.08
lead presentation demanding critical,0.717,0.88
study for assignment difficult pointless,0.609,0.073
go for stretch thirty seconds can't skip,0.047,0.979
complete timesheet easy simple,0.137,0.196
fill out taxes extremely complex critical,0.887,0.909
study for assignment tough no benefit,0.72,0.074
have presentation important moderate effort,0.32,0.664
fix email difficult pointless,0.665,0.152
do vacuuming simple critical,0.156,0.951
lead networking event worthwhile effort,0.429,0.657
have interview difficult urgent,0.584,0.805
handle groceries simple pointless,0.087,0.059
run retrospective in the morning,0.305,0.29
file budget hard nobody cares,0.711,0.177
lead presentation not a priority,0.299,0.272
attend presentation takes no time top priority,0.074,0.864
go to medication simple worth doing,0.127,0.559
moderate exam prep,0.409,0.401
do gym session technically hard completely optional,0.717,0.101
debug documentation difficult urgent,0.745,0.834
go for gym session hard nobody cares,0.751,0.122
do doctor appointment thirty seconds can't skip,0.054,0.95
take care of dusting hardest thing ever very important,0.911,0.925
go to medication by noon,0.444,0.338
finish unit testing decent amount of work,0.425,0.466
have networking event non trivial,0.541,0.407
do run not important but hard,0.694,0.173
prepare for assignment barely any effort extremely important,0.071,0.914
file budget hard demanding,0.725,0.567
have team standup needs attention,0.383,0.604
get cooking sometime this week,0.208,0.191
prepare for retrospective simple urgent need,0.137,0.885
attend meeting sometime this week,0.264,0.286
do yoga if time allows,0.405,0.338
file invoice extreme critical,0.862,0.915
debug performance review requires focus,0.441,0.659
finish laundry brutal intense,0.936,0.893
fix code review not critical should do,0.359,0.402
do stretch hard doesn't matter,0.616,0.142
refactor performance review hard quite important,0.569,0.72
join slides complex very important,0.742,0.817
join slides tough urgent must do,0.661,0.937
get vacuuming extreme critical,0.826,0.878
finish cooking important needs focus,0.398,0.693
lead standup considerable effort,0.498,0.544
complete expense report decent amount of work,0.409,0.441
fix report somewhat challenging,0.494,0.382
do cleaning moderately important,0.35,0.676
push deployment hard waste of time,0.688,0.063
go through assignment easy very important,0.166,0.835
take care of cooking important moderate effort,0.435,0.711
prepare for presentation technically hard completely optional,0.777,0.095
push deployment regular task,0.461,0.305
complete performance review hard demanding,0.689,0.682
get vacuuming hard critical,0.688,0.853
extreme performance review,0.931,0.781
prepare for reading thirty seconds can't skip,0.04,0.978
do laundry important moderate effort,0.3,0.675
do exam prep hard quite important,0.702,0.667
get doctor appointment fair amount of work,0.417,0.404
finish homework easy simple,0.103,0.121
file timesheet should take some time,0.465,0.315
do dentist complex nobody asked for,0.727,0.063
do medication demanding critical,0.645,0.873
run presentation demanding critical,0.703,0.919
take care of cooking quick can't miss,0.063,0.904
take care of groceries tiny task major impact,0.067,0.886
lead call with client easy should do,0.142,0.451
do dusting kinda hard kinda matters,0.471,0.475
do yoga kinda hard kinda matters,0.482,0.523
get laundry not important but hard,0.704,0.205
run meeting if time allows,0.49,0.339
run team standup exhausting low stakes,0.677,0.138
do taxes non trivial,0.548,0.427
finish reading hard waste of time,0.762,0.119
go to retrospective trivial but high stakes,0.051,0.923
lead retrospective massive effort basically useless,0.728,0.093
review study session hard demanding,0.691,0.663
finish laundry tiny task major impact,0.136,0.946
go for gym session non trivial,0.552,0.325
attend interview takes no time,0.084,0.173
go for stretch hard zero payoff,0.654,0.098
get medication easy must do,0.101,0.833
fix documentation should take some time,0.522,0.321
pointless sprint planning,0.269,0.16
file timesheet hard doesn't matter,0.733,0.159
go for stretch simple urgent need,0.081,0.807
do homework hard hard,0.713,0.634
write documentation easy must do,0.106,0.811
do laundry extremely hard life or death,0.809,0.903
do walk hard waste of time,0.664,0.125
finish dishes technically hard completely optional,0.617,0.115
refactor performance review tough urgent must do,0.727,0.855
do shopping regular task,0.351,0.35
complete taxes easy but critical,0.095,0.82
attend sprint planning extreme critical,0.843,0.918
ship performance review difficult pointless,0.626,0.079
attend call with client tiny task major impact,0.129,0.802
join standup easy very important,0.083,0.86
join networking event barely anything,0.054,0.067
finish dishes not easy not important,0.478,0.343
push email complex nobody asked for,0.566,0.132
file expense report middle of the road,0.513,0.428
have team standup this week,0.448,0.365
lead standup takes forever but skip it,0.686,0.08
complete invoice hard very important,0.688,0.854
prepare for team standup hard zero payoff,0.624,0.076
review exam prep hard quite important,0.716,0.659
run presentation not critical should do,0.465,0.447
do homework worthwhile effort,0.401,0.547
get dentist takes no time top priority,0.113,0.89
take care of groceries trivial but high stakes,0.061,0.804
prepare for study session grueling most important,0.911,0.886
prepare for retrospective takes forever but skip it,0.837,0.059
complete timesheet brutal intense,0.843,0.839
take care of laundry worthwhile effort,0.406,0.545
have doctor appointment important needs focus,0.437,0.716
fill out expense report difficult needs doing,0.723,0.728
finish cleaning easy nothing to stress,0.11,0.085
file invoice takes forever but skip it,0.67,0.094
do taxes considerable effort,0.525,0.414
go to sprint planning routine low stakes,0.241,0.245
debug performance review extremely complex critical,0.753,0.886
do walk small but worth doing,0.178,0.379
do walk quick urgent,0.122,0.936
work on code review before lunch,0.287,0.213
take care of cleaning hard waste of time,0.784,0.059
go for yoga complex nobody asked for,0.652,0.075
join retrospective draining but irrelevant,0.725,0.055
do cleaning next week,0.363,0.328
debug documentation should take some time,0.501,0.447
work on documentation difficult urgent,0.711,0.851
lead team standup important needs focus,0.461,0.707
push email quick but important,0.095,0.9
go to retrospective decent priority,0.377,0.667
lead team standup thirty seconds can't skip,0.11,0.893
do stretch non trivial,0.513,0.306
do exam prep extremely complex critical,0.809,0.923
go to checkup decent priority,0.399,0.537
go through study session moderate nothing special,0.406,0.296
simple performance review,0.124,0.311
do study session average task average priority,0.431,0.52
complete expense report hard demanding,0.677,0.604
join interview decent priority,0.371,0.643
do cooking moderately important,0.436,0.627
go for stretch worth the time,0.415,0.598
go through homework moderate effort,0.388,0.373
study for assignment quite demanding,0.551,0.414
finish report massive effort basically useless,0.723,0.053
have sprint planning extremely hard life or death,0.866,0.991
complete invoice quick but matters,0.177,0.6
prepare for retrospective hard nobody cares,0.783,0.093
write documentation hard waste of time,0.724,0.061
go for workout grueling most important,0.873,0.912
complete documentation complex nobody asked for,0.669,0.101
go to team standup medium effort,0.449,0.354
go to sprint planning easy must do,0.149,0.938
ship email easy low importance,0.148,0.371
work on report medium priority,0.469,0.542
go for stretch considerable effort,0.569,0.54
go through reading not important,0.303,0.149
go for run tomorrow,0.396,0.324
attend team standup difficult pointless,0.678,0.055
go through reading complex very important,0.695,0.861
go to checkup this evening,0.38,0.275
study for homework moderate doesn't matter,0.425,0.272
critical study session,0.467,0.86
do checkup draining but irrelevant,0.656,0.097
take care of vacuuming moderate nothing special,0.308,0.386
lead slides exhausting low stakes,0.698,0.102
go through homework barely anything,0.015,0.141
ship deployment nice to have,0.244,0.346
have dentist difficult urgent,0.742,0.814
finish laundry hard demanding,0.76,0.566
finish vacuuming routine low stakes,0.339,0.311
get dusting tough no benefit,0.6,0.123
do meditation solid mid level task,0.436,0.594
intense unit testing,0.817,0.624
finish homework quick urgent,0.135,0.879
fill out expense report one click very important,0.077,0.851
go for gym session should prioritize,0.449,0.714
run call with client requires focus,0.474,0.688
go to call with client someday task,0.224,0.224
take care of shopping tomorrow,0.362,0.221
prepare for slides massive effort basically useless,0.846,0.134
go for yoga quick but important,0.093,0.767
have networking event considerable effort,0.487,0.389
study for exam prep moderate nothing special,0.443,0.306
go for yoga hard needs focus,0.683,0.638
do dusting quick doesn't matter,0.091,0.025
do homework complex nobody asked for,0.665,0.104
run networking event neither easy nor hard,0.56,0.373
write code review not important but hard,0.701,0.25
complete unit testing not important but hard,0.712,0.166
work on code review technically hard completely optional,0.757,0.198
do gym session nice to have,0.249,0.28
take care of dishes should prioritize,0.405,0.607
finish dusting regular task,0.446,0.323
go through reading hard critical,0.614,0.911
write unit testing takes forever but skip it,0.812,0.114
push email before lunch,0.356,0.384
take care of laundry tough no benefit,0.734,0.055
run presentation solid mid level task,0.5,0.441
go for run moderate nothing special,0.456,0.412
go for stretch barely any effort extremely important,0.124,0.961
run presentation hard doesn't matter,0.631,0.153
do run quite demanding,0.614,0.459
have dentist quick urgent,0.145,0.9
go for run hard zero payoff,0.701,0.143
run meeting kinda hard kinda matters,0.47,0.575
have slides technically hard completely optional,0.65,0.09
refactor email thirty seconds can't skip,0.097,0.914
go for walk quick can't miss,0.101,0.941
do groceries thirty seconds can't skip,0.094,0.974
have dentist non trivial,0.534,0.358
go through homework important moderate effort,0.442,0.795
do run extreme critical,0.902,0.859
prepare for assignment draining but irrelevant,0.757,0.059
handle shopping complex very important,0.73,0.935
do expense report exhausting low stakes,0.714,0.179
attend call with client regular task,0.483,0.31
fill out taxes hard zero payoff,0.696,0.078
have interview hard quite important,0.709,0.677
push deployment hard doesn't matter,0.641,0.08
write documentation extremely complex critical,0.831,0.939
work on code review simple urgent need,0.121,0.875
take care of dishes grueling most important,0.882,0.867
go to checkup hard nobody cares,0.655,0.171
fill out expense report not hard but important,0.225,0.637
attend interview grueling most important,0.9,0.863
debug performance review hardest thing ever very important,0.861,0.984
work on documentation medium priority,0.439,0.517
handle shopping non trivial,0.52,0.416
do reading grueling most important,0.889,0.94
handle groceries worth the time,0.439,0.583
finish laundry important moderate effort,0.344,0.76
do dentist considerable effort,0.526,0.445
go for stretch extreme critical,0.929,0.901
go for stretch simple pointless,0.033,0.088
attend standup takes forever but skip it,0.652,0.093
prepare for networking event exhausting low stakes,0.698,0.165
handle shopping complex nobody asked for,0.639,0.137
finish performance review hard nobody cares,0.612,0.061
have medication hard critical,0.685,0.886
handle groceries nice to have,0.388,0.326
finish vacuuming takes no time top priority,0.056,0.86
prepare for team standup not important,0.321,0.223
fill out expense report complex nobody asked for,0.605,0.106
complete expense report hard hard,0.648,0.7
refactor deployment low priority,0.492,0.286
refactor code review demanding critical,0.791,0.898
do workout trivial but high stakes,0.064,0.846
get cleaning complex very important,0.636,0.804
lead meeting hardest thing ever very important,0.867,0.943
get cooking someday task,0.242,0.283
refactor documentation easy but critical,0.069,0.885
prepare for assignment simple critical,0.102,0.853
prepare for team standup easy no effort,0.058,0.084
push deployment hardest thing ever very important,0.965,0.938
prepare for exam prep someday task,0.27,0.306
do walk kinda hard kinda matters,0.467,0.582
have presentation non trivial,0.455,0.389
do meditation difficult needs doing,0.628,0.71
finish code review difficult pointless,0.645,0.053
finish deployment no rush,0.27,0.307
fill out budget technically hard completely optional,0.728,0.189
do walk easy but critical,0.063,0.882
complete deployment considerable effort,0.554,0.469
take care of dusting takes no time,0.066,0.167
have networking event quick and easy,0.006,0.075
fix report extremely complex critical,0.79,0.856
file expense report somewhat challenging,0.425,0.48
do invoice technically hard completely optional,0.763,0.175
handle groceries next week,0.367,0.3
ship performance review draining but irrelevant,0.764,0.09
prepare for networking event decent amount of work,0.537,0.46
have doctor appointment should prioritize,0.448,0.731
do yoga should prioritize,0.457,0.62
join interview minor task,0.318,0.216
do dishes tough no benefit,0.607,0.084
complete invoice moderate effort,0.397,0.435
submit budget moderate effort,0.407,0.38
do doctor appointment extremely hard life or death,0.944,0.979
review assignment kinda hard kinda matters,0.509,0.473
take care of cooking easy very important,0.143,0.912
get dentist tough urgent must do,0.695,0.944
file taxes easy no effort,0.005,0.142
attend interview kinda hard kinda matters,0.496,0.473
finish cooking background task,0.341,0.283
do walk tough challenging,0.593,0.508
do dentist whenever,0.473,0.26
do dusting hard hard,0.695,0.698
go to checkup barely any effort extremely important,0.1,0.975
fill out taxes massive effort basically useless,0.846,0.138
take care of cleaning tiny task major impact,0.062,0.947
study for study session kinda hard kinda matters,0.524,0.49
do invoice if time allows,0.314,0.283
go for meditation should prioritize,0.441,0.724
submit budget decent work reasonable priority,0.463,0.458
do expense report hard hard,0.657,0.551
get dishes important moderate effort,0.392,0.621
do budget not important but hard,0.608,0.184
prepare for standup solid mid level task,0.416,0.53
finish vacuuming kinda hard kinda matters,0.577,0.467
go through assignment hard needs focus,0.707,0.717
attend sprint planning tonight,0.346,0.273
do walk barely anything,0.034,0.071
attend standup should prioritize,0.325,0.74
go to call with client straightforward,0.103,0.123
have retrospective hard demanding,0.66,0.614
fix email kinda hard kinda matters,0.488,0.475
debug report simple urgent need,0.092,0.884
finish cleaning hard critical,0.657,0.917
run call with client extreme critical,0.927,0.947
join standup should prioritize,0.346,0.727
prepare for assignment not important but hard,0.696,0.163
go for run standard routine,0.333,0.39
have standup someday task,0.207,0.323
go to doctor appointment barely any effort extremely important,0.08,0.944
take care of groceries one click very important,0.052,0.855
finish cooking requires focus,0.448,0.645
do assignment easy very important,0.117,0.832
get cleaning important needs focus,0.509,0.712
run standup this evening,0.3,0.247
go to slides easy nothing to stress,0.07,0.129
attend meeting tough urgent must do,0.69,0.888
go for workout quick and simple,0.104,0.145
file taxes non trivial,0.509,0.459
file timesheet hard very important,0.555,0.823
work on email fairly important,0.407,0.68
go through reading one click very important,0.035,0.879
take care of laundry decent priority,0.384,0.641
complete taxes hard nobody cares,0.655,0.115
do meditation requires focus,0.381,0.52
submit timesheet kinda hard kinda matters,0.532,0.595
write performance review massive effort basically useless,0.736,0.124
file expense report regular task,0.468,0.4
join interview not important but hard,0.779,0.225
join interview tough no benefit,0.697,0.059
submit expense report simple worth doing,0.092,0.459
attend sprint planning tough challenging,0.557,0.696
review code review hardest thing ever very important,0.953,0.947
prepare for team standup exhausting low stakes,0.684,0.16
review reading small but worth doing,0.298,0.332
fix performance review hard waste of time,0.622,0.053
this is the easiest thing i will do all day,0.02,0.18
study for exam prep quick and easy,0.084,0.082
do dusting exhausting low stakes,0.651,0.142
complete taxes light and simple,0.072,0.11
join call with client barely anything,0.02,0.144
finish study session worthwhile effort,0.469,0.509
attend call with client should prioritize,0.321,0.673
do stretch hard quite important,0.712,0.617
do study session draining but irrelevant,0.7,0.109
refactor email quick and simple,0.061,0.18
fill out budget extreme critical,0.8,0.863
go to call with client quick but important,0.1,0.76
lead presentation hardest thing ever very important,0.914,0.963
do stretch hard waste of time,0.694,0.108
finish cleaning easy but critical,0.092,0.904
easy retrospective session,0.113,0.175
prepare for study session solid mid level task,0.538,0.506
take care of groceries not critical should do,0.418,0.423
have medication extremely hard life or death,0.885,0.949
go for run can wait,0.317,0.358
do gym session minor task,0.181,0.217
refactor code review grueling most important,0.876,0.904
do expense report tiny task major impact,0.068,0.932
get laundry medium difficulty medium stakes,0.438,0.466
do invoice in the morning,0.396,0.324
file invoice medium priority,0.441,0.543
go to meeting not important but hard,0.666,0.289
submit timesheet one click very important,0.06,0.854
take care of cooking tough urgent must do,0.665,0.907
fix code review easy should do,0.139,0.462
push email difficult pointless,0.693,0.056
do shopping simple critical,0.094,0.886
do meditation tough no benefit,0.688,0.126
complete timesheet hard hard,0.687,0.638
finish dusting tough challenging,0.676,0.668
take care of vacuuming complex very important,0.792,0.821
take care of dusting grueling most important,0.97,0.917
complete taxes hardest thing ever very important,0.932,0.933
refactor performance review takes no time,0.034,0.158
study for homework at 6am,0.318,0.262
do workout difficult needs doing,0.628,0.702
lead team standup extreme critical,0.943,0.909
fill out budget exhausting low stakes,0.712,0.089
study for study session simple pointless,0.063,0.067
prepare for networking event not important but hard,0.618,0.196
do groceries hard zero payoff,0.676,0.08
write code review extremely hard life or death,0.898,0.941
review exam prep quite demanding,0.502,0.463
attend standup simple urgent need,0.108,0.881
join standup quite demanding,0.687,0.587
prepare for presentation hard needs focus,0.701,0.715
do gym session hard waste of time,0.7,0.116
have checkup hardest thing ever very important,0.856,0.967
submit expense report exhausting low stakes,0.718,0.104
prepare for standup quick and easy,0.037,0.072
take care of groceries extreme critical,0.874,0.915
do workout next week,0.35,0.153
get cleaning middle of the road,0.509,0.505
do workout decent work reasonable priority,0.469,0.446
run slides hard zero payoff,0.795,0.099
submit budget easy very important,0.158,0.847
do medication decent priority,0.306,0.595
run retrospective worthwhile effort,0.307,0.635
complete taxes tough challenging,0.692,0.617
do workout barely any effort extremely important,0.072,0.863
finish dusting tiny task major impact,0.072,0.836
go to slides quick but important,0.067,0.854
submit timesheet not important but hard,0.656,0.271
complete code review not urgent,0.437,0.171
attend networking event hard waste of time,0.788,0.084
review assignment not easy not important,0.588,0.315
do dusting quick but matters,0.141,0.533
do workout hard nobody cares,0.74,0.104
refactor code review difficult pointless,0.613,0.144
push unit testing hard needs focus,0.645,0.715
go to sprint planning tough challenging,0.661,0.624
write documentation technically hard completely optional,0.783,0.124
do dishes quick nothing important,0.05,0.078
run sprint planning tough no benefit,0.641,0.077
attend team standup hard hard,0.624,0.502
go to networking event hard critical,0.616,0.936
push unit testing quick doesn't matter,0.052,0.078
attend retrospective technically hard completely optional,0.667,0.082
take care of vacuuming medium effort,0.392,0.303
have sprint planning tomorrow,0.331,0.295
have team standup this evening,0.258,0.154
push code review complex very important,0.655,0.908
fill out timesheet needs attention,0.302,0.672
go through homework hard demanding,0.735,0.676
work on report moderate effort,0.374,0.447
do stretch difficult needs doing,0.624,0.553
fill out expense report simple urgent need,0.166,0.804
ship deployment hard nobody cares,0.767,0.064
do reading hard doesn't matter,0.692,0.081
go to sprint planning takes forever but skip it,0.795,0.128
run retrospective complex very important,0.756,0.887
go to retrospective tough no benefit,0.573,0.118
do budget grueling most important,0.905,0.904
do taxes difficult urgent,0.642,0.947
take care of dusting medium difficulty medium stakes,0.417,0.433
run standup should prioritize,0.436,0.735
do invoice takes no time,0.039,0.168
go through homework decent priority,0.389,0.51
do timesheet non trivial,0.576,0.331
join networking event hard waste of time,0.616,0.125
finish laundry tough no benefit,0.71,0.108
join team standup needs attention,0.408,0.708
do taxes quite demanding,0.601,0.495
do checkup decent effort important,0.442,0.59
work on code review tough urgent must do,0.709,0.92
debug documentation no rush,0.317,0.155
have meeting quite demanding,0.637,0.504
complete code review hard hard,0.659,0.551
review email complex nobody asked for,0.739,0.129
file invoice tough challenging,0.72,0.684
finish study session takes no time,0.075,0.139
get checkup simple urgent need,0.099,0.905
finish dishes should prioritize,0.45,0.594
do study session somewhat challenging,0.465,0.397
file expense report standard routine,0.337,0.467
have checkup neither easy nor hard,0.486,0.409
get dentist draining but irrelevant,0.771,0.118
study for reading hard hard,0.616,0.524
write performance review tough urgent must do,0.603,0.908
go through assignment complex nobody asked for,0.642,0.052
do timesheet hard zero payoff,0.623,0.085
fill out taxes not hard,0.123,0.235
go to doctor appointment medium difficulty medium stakes,0.534,0.465
review documentation medium effort,0.452,0.477
tough code review,0.705,0.49
attend slides complex nobody asked for,0.551,0.05
lead sprint planning extreme critical,0.854,0.876
handle groceries hard nobody cares,0.677,0.174
run standup grueling most important,0.91,0.945
do timesheet kinda hard kinda matters,0.52,0.456
go to presentation massive effort basically useless,0.779,0.063
do invoice tough challenging,0.718,0.525
run call with client kinda hard kinda matters,0.499,0.513
go for workout technically hard completely optional,0.634,0.166
go to meeting easy very important,0.17,0.878
go to team standup quick but matters,0.165,0.675
easy medication session,0.159,0.081
do dusting hard cannot miss,0.709,0.872
do timesheet barely any effort extremely important,0.08,0.881
do workout hard doesn't matter,0.672,0.056
attend retrospective massive effort basically useless,0.747,0.055
prepare for sprint planning brutal intense,0.914,0.924
go for meditation difficult pointless,0.7,0.073
push documentation takes no time top priority,0.107,0.877
do dentist decent priority,0.433,0.63
finish cleaning minor task,0.245,0.214
have dentist should take some time,0.413,0.429
run team standup middle of the road,0.571,0.51
have presentation takes forever but skip it,0.783,0.118
super easy and nobody cares,0.1,0.08
take care of dusting hard doesn't matter,0.704,0.075
lead call with client hard demanding,0.733,0.7
review study session kinda hard kinda matters,0.598,0.544
do budget regular task,0.321,0.425
review unit testing brutal intense,0.861,0.932
take care of groceries next week,0.383,0.248
lead sprint planning quick and easy,0.065,0.076
do groceries quick urgent,0.119,0.921
debug report hard demanding,0.716,0.635
go to sprint planning decent priority,0.464,0.632
prepare for presentation complex nobody asked for,0.584,0.098
lead team standup complex very important,0.74,0.824
fix documentation moderate effort,0.326,0.479
finish cooking grueling most important,0.979,0.93
file taxes easy but critical,0.053,0.812
go for workout massive effort basically useless,0.811,0.125
lead meeting low priority,0.31,0.204
